episode,reward
430,-162.0
431,-184.0
432,-158.0
433,-160.0
434,-200.0
435,-160.0
436,-162.0
437,-154.0
438,-200.0
439,-158.0
440,-176.0
441,-150.0
442,-153.0
443,-200.0
444,-150.0
445,-147.0
446,-152.0
447,-156.0
448,-150.0
449,-161.0
450,-168.0
451,-164.0
452,-151.0
453,-161.0
454,-154.0
455,-156.0
456,-158.0
457,-148.0
458,-159.0
459,-152.0
460,-158.0
461,-197.0
462,-165.0
463,-145.0
464,-198.0
465,-153.0
466,-161.0
467,-200.0
468,-158.0
469,-148.0
470,-150.0
471,-155.0
472,-153.0
473,-200.0
474,-149.0
475,-200.0
476,-147.0
477,-157.0
478,-200.0
479,-153.0
480,-157.0
481,-164.0
482,-156.0
483,-164.0
484,-149.0
485,-159.0
486,-153.0
487,-144.0
488,-192.0
489,-178.0
490,-152.0
491,-157.0
492,-152.0
493,-167.0
494,-146.0
495,-151.0
496,-163.0
497,-147.0
498,-151.0
499,-200.0
500,-147.0
501,-154.0
502,-169.0
503,-193.0
504,-167.0
505,-162.0
506,-186.0
507,-152.0
508,-150.0
509,-184.0
510,-154.0
511,-184.0
512,-175.0
513,-148.0
514,-160.0
515,-149.0
516,-145.0
517,-159.0
518,-175.0
519,-152.0
520,-149.0
521,-173.0
522,-139.0
523,-147.0
524,-200.0
525,-133.0
526,-200.0
527,-153.0
528,-153.0
529,-149.0
530,-159.0
531,-162.0
532,-188.0
533,-200.0
534,-185.0
535,-145.0
536,-192.0
537,-122.0
538,-173.0
539,-200.0
540,-127.0
541,-113.0
542,-133.0
543,-117.0
544,-154.0
545,-133.0
546,-152.0
547,-121.0
548,-158.0
549,-155.0
550,-162.0
551,-197.0
552,-125.0
553,-168.0
554,-121.0
555,-200.0
556,-148.0
557,-119.0
558,-200.0
559,-126.0
560,-132.0
561,-158.0
562,-117.0
563,-127.0
564,-163.0
565,-165.0
566,-200.0
567,-125.0
568,-124.0
569,-200.0
570,-154.0
571,-129.0
572,-156.0
573,-122.0
574,-114.0
575,-153.0
576,-148.0
577,-120.0
578,-157.0
579,-125.0
580,-127.0
581,-123.0
582,-116.0
583,-196.0
584,-162.0
585,-115.0
586,-123.0
587,-195.0
588,-131.0
589,-135.0
590,-200.0
591,-120.0
592,-131.0
593,-118.0
594,-152.0
595,-168.0
596,-151.0
597,-114.0
598,-120.0
599,-126.0
600,-148.0
601,-120.0
602,-115.0
603,-113.0
604,-118.0
605,-147.0
606,-121.0
607,-154.0
608,-185.0
609,-159.0
610,-157.0
611,-200.0
612,-112.0
613,-112.0
614,-119.0
615,-182.0
616,-191.0
617,-121.0
618,-196.0
619,-115.0
620,-127.0
621,-98.0
622,-122.0
623,-118.0
624,-116.0
625,-94.0
626,-116.0
627,-132.0
628,-126.0
629,-125.0
630,-122.0
631,-179.0
632,-156.0
633,-197.0
634,-119.0
635,-111.0
636,-115.0
637,-200.0
638,-187.0
639,-189.0
640,-126.0
641,-124.0
642,-134.0
643,-156.0
644,-117.0
645,-110.0
646,-155.0
647,-145.0
648,-135.0
649,-112.0
650,-123.0
651,-114.0
652,-118.0
653,-112.0
654,-157.0
655,-159.0
656,-123.0
657,-115.0
658,-152.0
659,-90.0
660,-144.0
661,-114.0
662,-127.0
663,-126.0
664,-117.0
665,-143.0
666,-115.0
667,-115.0
668,-145.0
669,-117.0
670,-111.0
671,-152.0
672,-117.0
673,-173.0
674,-143.0
675,-182.0
676,-115.0
677,-151.0
678,-116.0
679,-113.0
680,-114.0
681,-180.0
682,-158.0
683,-166.0
684,-117.0
685,-113.0
686,-122.0
687,-118.0
688,-124.0
689,-114.0
690,-120.0
691,-123.0
692,-117.0
693,-137.0
694,-119.0
695,-124.0
696,-121.0
697,-137.0
698,-115.0
699,-118.0
700,-117.0
701,-200.0
702,-118.0
703,-116.0
704,-155.0
705,-126.0
706,-117.0
707,-123.0
708,-114.0
709,-132.0
710,-115.0
711,-200.0
712,-120.0
713,-116.0
714,-101.0
715,-123.0
716,-150.0
717,-120.0
718,-121.0
719,-121.0
720,-138.0
721,-145.0
722,-115.0
723,-121.0
724,-128.0
725,-120.0
726,-124.0
727,-114.0
728,-119.0
729,-186.0
730,-120.0
731,-135.0
732,-125.0
733,-144.0
734,-121.0
735,-124.0
736,-122.0
737,-117.0
738,-123.0
739,-117.0
740,-124.0
741,-125.0
742,-128.0
743,-116.0
744,-121.0
745,-136.0
746,-120.0
747,-140.0
748,-119.0
749,-125.0
750,-123.0
751,-145.0
752,-200.0
753,-117.0
754,-197.0
755,-119.0
756,-118.0
757,-119.0
758,-119.0
759,-121.0
760,-153.0
761,-122.0
762,-130.0
763,-119.0
764,-119.0
765,-120.0
766,-125.0
767,-104.0
768,-171.0
769,-128.0
770,-173.0
771,-120.0
772,-124.0
773,-118.0
774,-114.0
775,-115.0
776,-117.0
777,-120.0
778,-122.0
779,-125.0
780,-116.0
781,-103.0
782,-114.0
783,-121.0
784,-122.0
785,-180.0
786,-169.0
787,-114.0
788,-114.0
789,-158.0
790,-149.0
791,-121.0
792,-155.0
793,-113.0
794,-114.0
795,-113.0
796,-117.0
797,-111.0
798,-176.0
799,-110.0
800,-114.0
801,-200.0
802,-118.0
803,-117.0
804,-113.0
805,-121.0
806,-112.0
807,-142.0
808,-176.0
809,-148.0
810,-134.0
811,-112.0
812,-113.0
813,-113.0
814,-145.0
815,-120.0
816,-114.0
817,-111.0
818,-134.0
819,-117.0
820,-111.0
821,-160.0
822,-150.0
823,-113.0
824,-108.0
825,-141.0
826,-170.0
827,-139.0
828,-145.0
829,-142.0
830,-109.0
831,-118.0
832,-112.0
833,-145.0
834,-113.0
835,-168.0
836,-111.0
837,-102.0
838,-138.0
839,-86.0
840,-148.0
841,-139.0
842,-185.0
843,-112.0
844,-113.0
845,-166.0
846,-141.0
847,-112.0
848,-114.0
849,-200.0
850,-194.0
851,-162.0
852,-88.0
853,-152.0
854,-118.0
855,-110.0
856,-112.0
857,-115.0
858,-115.0
859,-83.0
860,-110.0
861,-114.0
862,-115.0
863,-117.0
864,-112.0
865,-114.0
866,-105.0
867,-199.0
868,-117.0
869,-170.0
870,-196.0
871,-157.0
872,-115.0
873,-118.0
874,-164.0
875,-125.0
876,-158.0
877,-87.0
878,-137.0
879,-107.0
880,-154.0
881,-168.0
882,-149.0
883,-107.0
884,-122.0
885,-191.0
886,-158.0
887,-141.0
888,-135.0
889,-121.0
890,-108.0
891,-149.0
892,-161.0
893,-152.0
894,-97.0
895,-147.0
896,-154.0
897,-99.0
898,-138.0
899,-162.0
900,-147.0
901,-148.0
902,-138.0
903,-155.0
904,-145.0
905,-150.0
906,-92.0
907,-146.0
908,-114.0
909,-107.0
910,-147.0
911,-152.0
912,-141.0
913,-158.0
914,-95.0
915,-157.0
916,-148.0
917,-160.0
918,-166.0
919,-150.0
920,-146.0
921,-158.0
922,-155.0
923,-93.0
924,-143.0
925,-158.0
926,-155.0
927,-96.0
928,-148.0
929,-166.0
930,-152.0
931,-150.0
932,-163.0
933,-153.0
934,-167.0
935,-166.0
936,-159.0
937,-152.0
938,-161.0
939,-151.0
940,-157.0
941,-152.0
942,-86.0
943,-146.0
944,-150.0
945,-163.0
946,-151.0
947,-151.0
948,-156.0
949,-110.0
950,-149.0
951,-156.0
952,-162.0
953,-152.0
954,-161.0
955,-147.0
956,-153.0
957,-91.0
958,-152.0
959,-150.0
960,-158.0
961,-151.0
962,-150.0
963,-147.0
964,-156.0
965,-162.0
966,-164.0
967,-152.0
968,-148.0
969,-163.0
970,-160.0
971,-153.0
972,-151.0
973,-98.0
974,-157.0
975,-153.0
976,-156.0
977,-146.0
978,-158.0
979,-170.0
980,-86.0
981,-103.0
982,-158.0
983,-104.0
984,-170.0
985,-157.0
986,-141.0
987,-157.0
988,-164.0
989,-172.0
990,-155.0
991,-162.0
992,-154.0
993,-152.0
994,-159.0
995,-88.0
996,-160.0
997,-110.0
998,-153.0
999,-140.0
1000,-149.0
1001,-178.0
1002,-131.0
1003,-156.0
1004,-152.0
1005,-178.0
1006,-111.0
1007,-111.0
1008,-158.0
1009,-141.0
1010,-169.0
1011,-113.0
1012,-110.0
1013,-126.0
1014,-113.0
1015,-111.0
1016,-163.0
1017,-109.0
1018,-178.0
1019,-101.0
1020,-109.0
1021,-119.0
1022,-117.0
1023,-138.0
1024,-110.0
1025,-110.0
1026,-139.0
1027,-125.0
1028,-108.0
1029,-125.0
1030,-111.0
1031,-120.0
1032,-112.0
1033,-113.0
1034,-113.0
1035,-111.0
1036,-102.0
1037,-192.0
1038,-116.0
1039,-134.0
1040,-116.0
1041,-107.0
1042,-109.0
1043,-113.0
1044,-107.0
1045,-111.0
1046,-123.0
1047,-164.0
1048,-159.0
1049,-87.0
1050,-168.0
1051,-126.0
1052,-118.0
1053,-92.0
1054,-109.0
1055,-189.0
1056,-165.0
1057,-135.0
1058,-179.0
1059,-164.0
1060,-126.0
1061,-131.0
1062,-99.0
1063,-110.0
1064,-114.0
1065,-116.0
1066,-110.0
1067,-107.0
1068,-106.0
1069,-192.0
1070,-109.0
1071,-172.0
1072,-128.0
1073,-111.0
1074,-113.0
1075,-109.0
1076,-111.0
1077,-97.0
1078,-129.0
1079,-110.0
1080,-94.0
1081,-137.0
1082,-103.0
1083,-109.0
1084,-110.0
1085,-158.0
1086,-109.0
1087,-113.0
1088,-127.0
1089,-182.0
1090,-109.0
1091,-105.0
1092,-125.0
1093,-156.0
1094,-161.0
1095,-186.0
1096,-120.0
1097,-116.0
1098,-111.0
1099,-110.0
1100,-117.0
1101,-149.0
1102,-107.0
1103,-99.0
1104,-152.0
1105,-97.0
1106,-116.0
1107,-107.0
1108,-114.0
1109,-94.0
1110,-91.0
1111,-94.0
1112,-108.0
1113,-129.0
1114,-106.0
1115,-110.0
1116,-97.0
1117,-165.0
1118,-109.0
1119,-167.0
1120,-153.0
1121,-86.0
1122,-157.0
1123,-157.0
1124,-114.0
1125,-171.0
1126,-110.0
1127,-86.0
1128,-102.0
1129,-110.0
1130,-154.0
1131,-105.0
1132,-116.0
1133,-111.0
1134,-121.0
1135,-90.0
1136,-118.0
1137,-116.0
1138,-116.0
1139,-90.0
1140,-99.0
1141,-114.0
1142,-93.0
1143,-121.0
1144,-171.0
1145,-156.0
1146,-173.0
1147,-163.0
1148,-87.0
1149,-89.0
1150,-98.0
1151,-86.0
1152,-165.0
1153,-124.0
1154,-119.0
1155,-120.0
1156,-89.0
1157,-123.0
1158,-170.0
1159,-162.0
1160,-88.0
1161,-168.0
1162,-124.0
1163,-87.0
1164,-94.0
1165,-156.0
1166,-157.0
1167,-153.0
1168,-116.0
1169,-119.0
1170,-162.0
1171,-171.0
1172,-93.0
1173,-162.0
1174,-90.0
1175,-91.0
1176,-88.0
1177,-185.0
1178,-125.0
1179,-156.0
1180,-92.0
1181,-116.0
1182,-89.0
1183,-124.0
1184,-89.0
1185,-117.0
1186,-159.0
1187,-158.0
1188,-154.0
1189,-158.0
1190,-155.0
1191,-158.0
1192,-89.0
1193,-88.0
1194,-94.0
1195,-161.0
1196,-159.0
1197,-90.0
1198,-112.0
1199,-168.0
1200,-97.0
1201,-86.0
1202,-105.0
1203,-156.0
1204,-172.0
1205,-89.0
1206,-99.0
1207,-92.0
1208,-157.0
1209,-116.0
1210,-153.0
1211,-128.0
1212,-169.0
1213,-86.0
1214,-186.0
1215,-118.0
1216,-90.0
1217,-110.0
1218,-154.0
1219,-165.0
1220,-166.0
1221,-159.0
1222,-155.0
1223,-161.0
1224,-165.0
1225,-155.0
1226,-96.0
1227,-95.0
1228,-88.0
1229,-116.0
1230,-158.0
1231,-86.0
1232,-95.0
1233,-88.0
1234,-156.0
1235,-97.0
1236,-110.0
1237,-115.0
1238,-165.0
1239,-156.0
1240,-161.0
1241,-113.0
1242,-115.0
1243,-86.0
1244,-167.0
1245,-115.0
1246,-115.0
1247,-114.0
1248,-112.0
1249,-116.0
1250,-87.0
1251,-92.0
1252,-93.0
1253,-118.0
1254,-118.0
1255,-167.0
1256,-114.0
1257,-120.0
1258,-125.0
1259,-122.0
1260,-92.0
1261,-121.0
1262,-120.0
1263,-86.0
1264,-159.0
1265,-119.0
1266,-127.0
1267,-123.0
1268,-127.0
1269,-164.0
1270,-115.0
1271,-126.0
1272,-163.0
1273,-157.0
1274,-123.0
1275,-124.0
1276,-115.0
1277,-114.0
1278,-114.0
1279,-115.0
1280,-183.0
1281,-129.0
1282,-102.0
1283,-92.0
1284,-118.0
1285,-120.0
1286,-90.0
1287,-124.0
1288,-115.0
1289,-114.0
1290,-125.0
1291,-113.0
1292,-114.0
1293,-88.0
1294,-116.0
1295,-86.0
1296,-115.0
1297,-107.0
1298,-117.0
1299,-89.0
1300,-120.0
1301,-114.0
1302,-160.0
1303,-119.0
1304,-88.0
1305,-103.0
1306,-88.0
1307,-164.0
1308,-174.0
1309,-94.0
1310,-119.0
1311,-111.0
1312,-116.0
1313,-119.0
1314,-122.0
1315,-112.0
1316,-179.0
1317,-83.0
1318,-122.0
1319,-119.0
1320,-110.0
1321,-114.0
1322,-115.0
1323,-117.0
1324,-159.0
1325,-119.0
1326,-109.0
1327,-119.0
1328,-113.0
1329,-102.0
1330,-110.0
1331,-119.0
1332,-120.0
1333,-109.0
1334,-112.0
1335,-110.0
1336,-109.0
1337,-110.0
1338,-113.0
1339,-115.0
1340,-91.0
1341,-109.0
1342,-119.0
1343,-88.0
1344,-117.0
1345,-114.0
1346,-118.0
1347,-121.0
1348,-110.0
1349,-109.0
1350,-88.0
1351,-111.0
1352,-100.0
1353,-110.0
1354,-118.0
1355,-112.0
1356,-106.0
1357,-87.0
1358,-116.0
1359,-121.0
1360,-107.0
1361,-106.0
1362,-107.0
1363,-109.0
1364,-106.0
1365,-108.0
1366,-110.0
1367,-108.0
1368,-99.0
1369,-143.0
1370,-108.0
1371,-121.0
1372,-87.0
1373,-126.0
1374,-197.0
1375,-89.0
1376,-114.0
1377,-109.0
1378,-112.0
1379,-109.0
1380,-97.0
1381,-123.0
1382,-115.0
1383,-118.0
1384,-109.0
1385,-90.0
1386,-107.0
1387,-95.0
1388,-106.0
1389,-112.0
1390,-125.0
1391,-85.0
1392,-98.0
1393,-90.0
1394,-86.0
1395,-121.0
1396,-94.0
1397,-107.0
1398,-88.0
1399,-117.0
1400,-120.0
1401,-91.0
1402,-108.0
1403,-85.0
1404,-121.0
1405,-179.0
1406,-115.0
1407,-115.0
1408,-86.0
1409,-109.0
1410,-113.0
1411,-108.0
1412,-91.0
1413,-84.0
1414,-115.0
1415,-106.0
1416,-155.0
1417,-85.0
1418,-106.0
1419,-105.0
1420,-107.0
1421,-86.0
1422,-112.0
1423,-107.0
1424,-108.0
1425,-91.0
1426,-110.0
1427,-86.0
1428,-108.0
1429,-84.0
1430,-94.0
1431,-113.0
1432,-108.0
1433,-105.0
1434,-122.0
1435,-105.0
1436,-109.0
1437,-105.0
1438,-86.0
1439,-116.0
1440,-89.0
1441,-111.0
1442,-108.0
1443,-115.0
1444,-118.0
1445,-89.0
1446,-87.0
1447,-104.0
1448,-110.0
1449,-106.0
1450,-88.0
1451,-116.0
1452,-88.0
1453,-110.0
1454,-112.0
1455,-122.0
1456,-111.0
1457,-114.0
1458,-117.0
1459,-116.0
1460,-112.0
1461,-108.0
1462,-100.0
1463,-85.0
1464,-89.0
1465,-89.0
1466,-107.0
1467,-120.0
1468,-108.0
1469,-123.0
1470,-105.0
1471,-108.0
1472,-86.0
1473,-94.0
1474,-104.0
1475,-125.0
1476,-109.0
1477,-97.0
1478,-84.0
1479,-110.0
1480,-117.0
1481,-114.0
1482,-106.0
1483,-100.0
1484,-105.0
1485,-190.0
1486,-109.0
1487,-167.0
1488,-106.0
1489,-99.0
1490,-200.0
1491,-86.0
1492,-91.0
1493,-107.0
1494,-110.0
1495,-104.0
1496,-121.0
1497,-187.0
1498,-84.0
1499,-119.0
1500,-102.0
1501,-150.0
1502,-97.0
1503,-119.0
1504,-155.0
1505,-112.0
1506,-106.0
1507,-122.0
1508,-108.0
1509,-87.0
1510,-91.0
1511,-112.0
1512,-120.0
1513,-121.0
1514,-98.0
1515,-108.0
1516,-94.0
1517,-87.0
1518,-108.0
1519,-87.0
1520,-121.0
1521,-113.0
1522,-85.0
1523,-86.0
1524,-176.0
1525,-156.0
1526,-87.0
1527,-195.0
1528,-118.0
1529,-154.0
1530,-124.0
1531,-114.0
1532,-87.0
1533,-115.0
1534,-116.0
1535,-113.0
1536,-113.0
1537,-88.0
1538,-110.0
1539,-148.0
1540,-185.0
1541,-114.0
1542,-111.0
1543,-103.0
1544,-160.0
1545,-99.0
1546,-110.0
1547,-86.0
1548,-85.0
1549,-156.0
1550,-114.0
1551,-100.0
1552,-110.0
1553,-86.0
1554,-171.0
1555,-88.0
1556,-87.0
1557,-97.0
1558,-91.0
1559,-119.0
1560,-151.0
1561,-187.0
1562,-114.0
1563,-109.0
1564,-86.0
1565,-111.0
1566,-84.0
1567,-84.0
1568,-86.0
1569,-115.0
1570,-89.0
1571,-153.0
1572,-123.0
1573,-103.0
1574,-88.0
1575,-108.0
1576,-152.0
1577,-107.0
1578,-95.0
1579,-91.0
1580,-87.0
1581,-117.0
1582,-94.0
1583,-152.0
1584,-108.0
1585,-88.0
1586,-191.0
1587,-89.0
1588,-108.0
1589,-109.0
1590,-88.0
1591,-87.0
1592,-87.0
1593,-114.0
1594,-106.0
1595,-117.0
1596,-96.0
1597,-109.0
1598,-106.0
1599,-112.0
1600,-116.0
1601,-116.0
1602,-111.0
1603,-107.0
1604,-169.0
1605,-148.0
1606,-95.0
1607,-121.0
1608,-109.0
1609,-113.0
1610,-119.0
1611,-106.0
1612,-116.0
1613,-113.0
1614,-170.0
1615,-89.0
1616,-114.0
1617,-119.0
1618,-148.0
1619,-109.0
1620,-114.0
1621,-116.0
1622,-112.0
1623,-151.0
1624,-115.0
1625,-109.0
1626,-85.0
1627,-110.0
1628,-91.0
1629,-109.0
1630,-91.0
1631,-116.0
1632,-117.0
1633,-105.0
1634,-118.0
1635,-95.0
1636,-98.0
1637,-110.0
1638,-154.0
1639,-167.0
1640,-110.0
1641,-113.0
1642,-114.0
1643,-117.0
1644,-120.0
1645,-112.0
1646,-94.0
1647,-113.0
1648,-85.0
1649,-99.0
